1,肖申克的救赎,9.7,希望让人自由。
2,霸王别姬,9.6,风华绝代。
3,阿甘正传,9.5,一部美国近现代史。
4,这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,9.5,最美的谎言。
6,泰坦尼克号,9.4,失去的才是永恒的。 
7,千与千寻,9.3,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,9.5,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,9.4,永远都不能忘记你所爱的人。
11,海上钢琴师,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,机器人总动员,9.3,小瓦力，大人生。
13,三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。
14,楚门的世界,9.3,如果再也不能见到你，祝你早安，午安，晚安。
15,放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。 
16,星际穿越,9.3,爱是一种力量，让我们超越时空感知它的存在。
17,大话西游之大圣娶亲,9.2,一生所爱。
18,熔炉,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,疯狂动物城,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
20,无间道,9.2,香港电影史上永不过时的杰作。
21,龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。
22,教父,9.3,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,9.1,平民励志片。 
24,怦然心动,9.1,真正的幸福是来自内心深处。
25,触不可及,9.2,满满温情的高雅喜剧。
26,蝙蝠侠：黑暗骑士,9.2,无尽的黑暗。
27,控方证人,9.6,比利·怀德满分作品。
28,活着,9.2,张艺谋最好的电影。
29,乱世佳人,9.3,Tomorrow is another day.
30,寻梦环游记,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
31,末代皇帝,9.2,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
32,摔跤吧！爸爸,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33,少年派的奇幻漂流,9.1,瑰丽壮观、无人能及的冒险之旅。
34,指环王3：王者无敌,9.2,史诗的终章。
35,飞屋环游记,9.0,最后那些最无聊的事情，才是最值得怀念的。 
36,何以为家,9.1,凝视卑弱生命，用电影改变命运。
37,十二怒汉,9.4,1957年的理想主义。 
38,鬼子来了,9.2,对敌人的仁慈，就是对自己残忍。
39,天空之城,9.1,对天空的追逐，永不停止。 
40,大话西游之月光宝盒,9.0,旷古烁今。
41,哈尔的移动城堡,9.0,带着心爱的人在天空飞翔。
42,天堂电影院,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
43,素媛,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
44,罗马假日,9.0,爱情哪怕只有一天。
45,闻香识女人,9.1,史上最美的探戈。
46,辩护人,9.2,电影的现实意义大过电影本身。
47,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
48,哈利·波特与魔法石,9.0,童话世界的开端。
49,死亡诗社,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
50,我不是药神,9.0,对我们国家而言，这样的电影多一部是一部。
51,教父2,9.2,优雅的孤独。
52,窃听风暴,9.1,别样人生。
53,狮子王,9.0,动物版《哈姆雷特》。
54,指环王2：双塔奇兵,9.1,承前启后的史诗篇章。
55,大闹天宫,9.3,经典之作，历久弥新。
56,指环王1：魔戒再现,9.0,传说的开始。
57,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
58,美丽心灵,9.0,爱是一切逻辑和原由。
